terminal,time,cpu,memory
urxvt,00.42,159,14828
urxvt,00.42,162,14892
urxvt,00.42,162,14900
urxvt,00.42,158,14900
urxvt,00.40,163,14748
urxvt,00.42,161,14980
urxvt,00.43,160,14676
urxvt,00.42,163,14944
urxvt,00.41,160,14800
urxvt,00.42,160,14924
urxvt,00.41,161,14940
urxvt,00.41,162,14808
urxvt,00.42,161,14852
urxvt,00.42,160,14904
urxvt,00.41,162,14916
urxvt,00.42,163,14808
urxvt,00.43,158,14892
urxvt,00.42,159,14932
urxvt,00.41,159,14904
urxvt,00.43,160,14904
urxvt,00.42,162,14876
urxvt,00.41,160,14812
urxvt,00.42,159,14916
urxvt,00.42,160,14952
urxvt,00.41,161,14828
urxvt,00.41,160,14832
urxvt,00.42,161,14824
urxvt,00.42,161,14832
urxvt,00.41,162,14776
urxvt,00.43,157,14724
urxvt,00.42,160,14724
urxvt,00.41,162,14888
urxvt,00.42,165,14808
urxvt,00.42,158,14924
urxvt,00.41,163,14860
urxvt,00.42,158,14808
urxvt,00.43,160,14776
urxvt,00.42,159,14828
urxvt,00.40,163,14916
urxvt,00.42,160,14800
urxvt,00.41,162,14976
urxvt,00.43,161,14912
urxvt,00.42,162,14728
urxvt,00.43,162,14936
urxvt,00.41,163,14900
urxvt,00.41,162,14808
urxvt,00.42,162,14944
urxvt,00.42,161,14876
urxvt,00.42,160,14924
urxvt,00.42,161,14736
urxvt,00.42,160,14752
urxvt,00.42,162,14936
urxvt,00.44,161,14724
urxvt,00.41,164,14812
urxvt,00.40,166,14920
urxvt,00.41,160,14848
urxvt,00.43,159,14880
urxvt,00.42,159,14704
urxvt,00.41,162,14836
urxvt,00.42,161,14836
urxvt,00.44,157,14840
urxvt,00.42,159,14764
urxvt,00.41,161,14932
urxvt,00.42,161,14884
urxvt,00.41,162,14684
urxvt,00.42,163,14640
urxvt,00.42,162,14788
urxvt,00.41,160,14648
urxvt,00.42,159,14836
urxvt,00.42,160,14720
urxvt,00.42,161,14924
urxvt,00.40,165,14764
urxvt,00.42,159,14888
urxvt,00.42,159,14872
urxvt,00.41,172,14724
urxvt,00.41,159,14720
st,00.44,161,7476
st,00.43,158,7564
st,00.44,158,7688
st,00.44,159,7688
st,00.44,161,7432
st,00.43,161,7580
st,00.42,163,7516
st,00.44,157,7540
st,00.42,162,7476
st,00.43,158,7688
st,00.44,160,7452
st,00.43,156,7456
st,00.44,160,7472
st,00.43,155,7540
st,00.43,157,7456
st,00.43,159,7588
st,00.44,163,7412
st,00.45,160,7404
st,00.43,160,7588
st,00.44,154,7448
st,00.43,159,7568
st,00.44,158,7384
st,00.44,162,7576
st,00.43,158,7480
st,00.44,163,7548
st,00.44,163,7384
st,00.44,155,7744
st,00.43,159,7652
st,00.43,159,7556
st,00.43,165,7560
st,00.42,157,7492
st,00.43,158,7512
st,00.44,161,7568
st,00.42,159,7540
st,00.43,158,7480
st,00.44,155,7556
st,00.44,157,7492
st,00.45,159,7584
st,00.44,160,7380
st,00.44,158,7580
st,00.44,161,7680
st,00.44,157,7544
st,00.43,158,7568
st,00.43,157,7564
st,00.44,157,7676
st,00.45,154,7456
st,00.43,157,7476
st,00.44,158,7480
st,00.43,163,7460
st,00.45,162,7564
st,00.46,157,7584
st,00.43,157,7580
st,00.43,158,7688
st,00.43,160,7564
st,00.45,163,7588
st,00.43,160,7560
st,00.43,157,7744
st,00.44,158,7380
st,00.44,161,7496
st,00.44,158,7688
st,00.44,161,7432
st,00.44,155,7568
st,00.45,162,7384
st,00.44,162,7452
st,00.43,158,7476
st,00.42,159,7476
st,00.43,159,7584
st,00.43,155,7560
st,00.44,157,7452
st,00.45,157,7488
st,00.43,161,7568
st,00.43,159,7572
st,00.43,155,7536
st,00.44,159,7604
st,00.44,160,7740
st,00.43,158,7560
st,00.43,159,7512
st,00.43,159,7564
st,00.44,160,7684
st,00.43,162,7544
st,00.45,156,7508
st,00.42,161,7432
st,00.44,156,7432
st,00.44,157,7580
st,00.42,157,7472
st,00.44,157,7744
st,00.44,158,7684
st,00.44,158,7428
st,00.44,157,7548
st,00.45,157,7408
st,00.45,148,7576
st,00.43,159,7748
st,00.44,160,7748
st,00.43,156,7432
st,00.45,156,7480
st,00.44,158,7676
st,00.45,161,7556
st,00.43,160,7740
st,00.44,160,7476
st,00.42,160,7560
