terminal,time,cpu,memory
mlterm,01.33,123,11160
mlterm,01.35,123,11076
mlterm,01.34,123,11116
mlterm,01.30,124,11188
mlterm,01.34,124,11064
mlterm,01.34,123,11108
mlterm,01.34,123,10920
mlterm,01.35,123,11068
mlterm,01.31,125,11252
mlterm,01.30,124,11072
mlterm,01.34,124,11176
mlterm,01.31,124,10916
mlterm,01.29,126,11044
mlterm,01.33,123,11052
mlterm,01.32,124,11148
mlterm,01.33,124,10964
mlterm,01.33,125,11184
mlterm,01.35,124,11076
mlterm,01.32,124,11080
mlterm,01.36,123,11020
mlterm,01.30,125,11244
mlterm,01.32,124,11076
mlterm,01.33,125,11112
mlterm,01.32,124,11176
mlterm,01.33,124,11108
mlterm,01.33,124,10848
mlterm,01.33,124,11084
mlterm,01.31,124,11160
mlterm,01.34,123,11048
mlterm,01.31,124,11052
mlterm,01.27,125,11156
mlterm,01.33,123,11132
mlterm,01.34,124,11120
mlterm,01.31,124,11124
mlterm,01.31,124,11088
st,00.39,170,7684
st,00.37,168,7548
st,00.39,167,7544
st,00.39,172,7432
st,00.38,171,7556
st,00.39,171,7492
st,00.39,169,7408
st,00.38,169,7568
st,00.38,171,7512
st,00.40,171,7564
st,00.38,169,7460
st,00.38,169,7412
st,00.39,173,7564
st,00.40,170,7684
st,00.39,173,7612
st,00.38,172,7580
st,00.40,172,7560
st,00.40,170,7396
st,00.39,171,7380
st,00.40,170,7432
st,00.39,171,7384
st,00.37,172,7684
st,00.38,170,7544
st,00.40,172,7508
st,00.38,168,7476
st,00.39,173,7432
st,00.39,168,7684
st,00.39,172,7436
st,00.39,171,7516
st,00.40,173,7688
st,00.39,171,7384
st,00.40,170,7680
st,00.39,170,7680
st,00.39,170,7684
st,00.39,168,7568
st,00.38,169,7568
st,00.39,172,7560
st,00.39,172,7564
st,00.38,170,7568
st,00.41,171,7552
st,00.41,165,7744
st,00.39,172,7428
st,00.40,172,7560
st,00.39,172,7748
st,00.39,171,7432
st,00.38,170,7460
st,00.40,173,7432
