xterm,mlterm,kterm,mrxvt,xvt,konsole,urxvt,st,alacritty,putty,"xfce4","gnome",terminator
10.52,8.73,13.58,17.56,12.93,15.31,26.12,25.94,25.05,26.38,34.13,31.41,30.93
5.08,13.42,14.68,16.47,19.28,15.92,25.96,22.30,29.32,28.15,33.79,34.37,34.68
4.68,13.51,4.76,10.29,20.19,17.05,25.99,23.01,29.75,30.65,31.99,30.49,31.07
7.81,12.87,8.44,12.71,12.90,21.47,23.29,26.09,25.61,29.23,33.26,32.21,32.52
9.38,13.20,14.66,14.69,18.34,22.06,25.46,25.85,26.38,28.81,31.59,33.32,33.28
13.50,13.85,11.79,12.56,14.00,16.65,23.59,24.20,9.72,23.97,32.96,32.02,34.70
9.93,5.00,13.29,7.98,12.89,17.59,26.03,23.99,29.41,25.03,33.20,30.44,34.97
14.90,11.01,14.31,8.52,11.07,23.41,25.25,23.73,23.24,28.73,33.56,33.38,32.35
3.03,13.69,14.85,12.78,19.36,22.46,23.15,23.45,16.30,28.80,31.81,35.02,31.15
6.30,14.29,5.10,12.06,10.01,21.12,24.17,25.55,23.81,28.56,34.75,34.69,33.53
4.08,4.84,4.81,21.63,8.10,22.17,24.54,22.74,16.36,29.50,28.85,31.67,33.47
4.49,13.40,4.60,12.62,7.85,21.83,23.67,23.61,27.56,28.30,28.49,30.04,32.39
11.09,4.67,7.43,9.65,10.59,21.78,19.56,22.91,30.70,25.35,28.16,33.70,33.55
15.04,14.59,12.10,13.79,7.99,20.83,20.48,23.39,21.99,24.54,33.92,31.31,34.86
9.71,8.98,4.38,12.09,14.48,20.25,20.44,25.12,13.39,30.26,31.71,31.91,33.37
13.26,7.35,6.10,13.24,13.85,20.27,26.86,25.33,29.09,27.39,31.20,31.24,34.06
14.09,4.31,4.58,13.45,13.84,21.78,23.75,21.65,21.00,29.28,30.93,34.71,32.26
4.62,4.24,4.78,12.28,18.69,22.96,23.81,22.58,24.22,29.20,32.46,34.09,33.76
3.95,14.36,7.77,7.76,11.00,22.94,25.66,26.15,16.47,29.24,34.53,34.11,30.14
5.33,14.38,5.11,9.52,17.81,21.28,24.04,23.16,25.04,24.75,29.76,36.79,34.40
5.10,4.41,5.03,13.12,12.52,22.21,25.67,24.48,22.87,27.79,33.63,31.58,34.32
12.16,13.55,4.49,16.26,15.47,20.84,25.62,23.31,28.50,27.79,32.58,34.13,32.26
11.93,8.10,5.27,16.21,18.51,21.76,24.73,23.57,27.30,28.27,31.63,32.46,31.31
4.87,13.35,6.93,12.90,11.44,21.40,23.54,21.82,21.98,29.27,33.89,33.71,32.60
4.92,7.25,13.85,15.90,7.59,22.31,23.59,23.77,30.26,28.30,35.24,28.70,33.33
5.21,12.43,13.15,7.64,19.05,20.96,23.81,25.94,22.06,27.71,34.64,34.17,35.12
13.93,12.45,7.34,19.39,19.33,23.71,25.29,25.48,10.80,23.65,30.03,30.68,33.30
9.32,4.71,5.21,20.67,19.03,22.92,25.02,19.68,10.12,27.11,34.12,35.50,32.23
8.69,4.46,8.98,13.96,18.31,20.14,25.00,21.97,25.47,29.51,32.74,31.79,33.25
14.96,11.68,13.45,12.49,16.09,19.90,23.29,26.70,31.13,27.64,31.72,35.08,32.71
