terminal,time,cpu,memory
stterm,00.39,175,8540
stterm,00.39,176,8400
stterm,00.38,178,8448
stterm,00.41,174,8364
stterm,00.39,175,8444
stterm,00.41,168,8612
stterm,00.41,174,8492
stterm,00.38,177,8396
stterm,00.41,172,8580
stterm,00.42,172,8380
stterm,00.46,169,8380
stterm,00.40,173,8496
stterm,00.39,177,8380
stterm,00.43,172,8428
stterm,00.42,174,8392
stterm,00.43,172,8324
stterm,00.41,174,8496
stterm,00.39,179,8332
stterm,00.40,175,8404
stterm,00.39,175,8384
stterm,00.39,175,8376
stterm,00.39,177,8476
stterm,00.41,173,8420
stterm,00.41,174,8380
stterm,00.40,175,8504
stterm,00.40,174,8472
stterm,00.41,175,8332
stterm,00.40,175,8508
stterm,00.38,176,8588
stterm,00.38,178,8500
stterm,00.43,173,8400
stterm,00.40,175,8404
stterm,00.39,175,8608
stterm,00.38,177,8500
stterm,00.42,173,8404
stterm,00.41,173,8380
stterm,00.39,177,8612
stterm,00.39,176,8432
stterm,00.39,178,8380
stterm,00.41,172,8396
stterm,00.41,174,8380
stterm,00.44,165,8336
stterm,00.41,171,8500
stterm,00.39,176,8540
stterm,00.40,176,8608
stterm,00.40,175,8420
stterm,00.44,169,8392
stterm,00.40,176,8496
stterm,00.38,177,8548
stterm,00.41,175,8436
stterm,00.40,175,8580
stterm,00.38,178,8580
stterm,00.39,175,8440
stterm,00.40,174,8476
stterm,00.39,176,8384
stterm,00.38,176,8500
stterm,00.39,175,8500
stterm,00.39,175,8436
stterm,00.42,175,8536
stterm,00.38,176,8380
stterm,00.40,175,8608
stterm,00.38,178,8476
stterm,00.40,177,8432
stterm,00.40,173,8332
stterm,00.39,177,8388
stterm,00.40,173,8388
stterm,00.41,174,8380
stterm,00.39,176,8400
stterm,00.41,173,8496
stterm,00.40,177,8500
stterm,00.40,174,8376
stterm,00.40,175,8440
stterm,00.44,171,8544
stterm,00.41,174,8532
stterm,00.42,172,8536
stterm,00.38,178,8376
stterm,00.43,173,8376
stterm,00.41,175,8388
stterm,00.41,170,8536
stterm,00.43,170,8440
stterm,00.42,173,8376
stterm,00.39,175,8412
stterm,00.39,174,8444
stterm,00.39,176,8476
stterm,00.40,174,8384
stterm,00.40,175,8408
stterm,00.44,171,8384
stterm,00.42,174,8536
stterm,00.39,176,8388
stterm,00.39,175,8380
stterm,00.39,176,8432
stterm,00.40,174,8608
stterm,00.39,177,8616
stterm,00.39,178,8480
stterm,00.40,173,8384
mlterm,01.20,114,11372
mlterm,01.20,112,11460
mlterm,01.17,116,11332
mlterm,01.23,110,11396
mlterm,01.17,119,11504
mlterm,01.19,120,11384
mlterm,01.21,113,11324
mlterm,01.16,119,11388
mlterm,01.26,109,11424
